plain_name,meaning,sample,note
... not to mention the fact,,... not to mention the fact that the city should conduct inspections of zoos.,To add more points on a topic
(and) still,even then; nevertheless,even then; nevertheless,
(every) once in a while,sometimes but not often,sometimes but not often,
a further ,,A further advantage of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
A lot of people think/believe,,A lot of people think/believe that the mayor's proposal to raise local taxes is unfair.,To state OTHER PEOPLE'S opinions
Above all,most importantly,"Above all, the university offers a wide range of courses and provides modern facilities.",To conclude
accordingly,in a way that is suitable or right for the situation,in a way that is suitable or right for the situation,
across,"from one side to the other of something with clear limits, such as an area of land, a road, or a river","from one side to the other of something with clear limits, such as an area of land, a road, or a river",
Actually,,"Actually, the report states that most college graduates are interested in pursuing a Masters' degree in the future.",To express reality
additionally,also or in addition,also or in addition,
adjacent (to),"very near, next to, or touching","very near, next to, or touching",
after all,despite earlier problems or doubts,despite earlier problems or doubts,
after all,used to add information that shows that what you have just said is true,used to add information that shows that what you have just said is true,
albeit,although,although,
All in all,considering all the different parts of the situation together,"All in all, the university offers a wide range of courses and provides modern facilities.",To conclude
all of a sudden,very quickly,very quickly,
All things considered,Someone might say that something is good all things considered to mean it was generally good although the situation was not perfect,"All things considered, the university offers a wide range of courses and provides modern facilities.",To conclude
alongside,"next to, or together with","next to, or together with",
also,,The city should also conduct inspections of zoos.,To add more points on a topic
although,despite the fact that,"Although killing endangered species is illegal, people will not stop hunting them.",To make contrasting points
amid,in the middle of or surrounded by,in the middle of or surrounded by,
another,,Another great advantage of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
another key point,,"Another key point, he adds, is that some arena tours are not quite what they seem.",To add more points on a topic
anyway,,"Anyway, a new community centre will greatly benefit the people of the town.",To imply that nothing else needs to be said/can be done
apart from this/that,,"Apart from this/that, the city should conduct inspections of zoos.",To add more points on a topic
Apparently,,"Apparently the building looked safe, but after a detailed inspection it was reported to be in need of major structural repairs.",To express difference between appearance and reality
around,"in a position or direction surrounding, or in a direction going along the edge of or from one part to another (of)","in a position or direction surrounding, or in a direction going along the edge of or from one part to another (of)",
as a consequence,,"Lots of factories have closed down; as a consequence, many people have lost their jobs.",To express effect / phrases for result
As a general rule,"usually, or in most situations","As a general rule, girls get better exam results than boys.",To make general statements
as a matter of fact,"used to add emphasis to what you are saying, or to show that it is the opposite of or different from what went before:","""Have you always lived here?"" ""As a matter of fact (= the truth is) I've only lived here for the last three years.""",To emphasise what you say
As a matter of fact,,"As a matter of fact, the report states that most college graduates are interested in pursuing a Masters' degree in the future.",To express reality
as a result,because of something,"As a result, many people have lost their jobs.",To express effect / phrases for result
as an illustration,as an example,as an example,
as can be seen,,"As can be seen here, the reality is even more striking and complicated.",To conclude
As far as I am concerned ,,As far as I am concerned department stores offer a greater selection of clothes than small boutiques.,To express PERSONAL opinion
As far as I know,,"As far as I know, they haven't reached a decision yet.",To express limit of knowledge
as far as sb is concerned,used to say what someone's opinion is:,"It's all over as far as I'm concerned.

So far as those big companies are concerned, we're just another little company that they can step on.",To state OTHER PEOPLE'S opinions
As for,,"As for the community, the area is in need of a new elementary school.",To bring up other points or aspects
as has been noted,,"As has been noted in the past, pop will eat itself.",To conclude
As I have said,,"As I have said, the university offers a wide range of courses and provides modern facilities.",To conclude
As it is,,"As it is, the situation cannot be improved.",Accepting the situation
as long as,if,if,
as much as,almost,almost,
as opposed to,rather than,rather than,
as shown above,,"As shown above, there are many ways to get feedback from readers.",To conclude
as soon as,at the same time or a very short time after,at the same time or a very short time after,
As was previously stated,,"As was previously stated, the university offers a wide range of courses and provides modern facilities.",To conclude
as well (as),in addition (to),in addition (to),
at (any / any given / one / a) time,at or during any particular point or moment in the day,at or during any particular point or moment in the day,
at (long) last,finally,finally,
at all times,continuously,continuously,
at any rate,whatever happens,whatever happens,
at once,at the same time,at the same time,
at one time,in the past,in the past,
at the same time,used to mention something that must be considered in addition to what you have just said,"Killing endangered species is illegal; at the same time, people will not stop hunting them.",To make contrasting points
at times,sometimes,sometimes,
be that as it may,used to mean that you accept that a piece of information is true but it does not change your opinion of the subject you are discussing,used to mean that you accept that a piece of information is true but it does not change your opinion of the subject you are discussing,
Because of,,"Because of the harsh winter, many crops were destroyed.",To express cause
behind,at the back (of),at the back (of),
beneath,"in or to a lower position than someone or something, under someone or something","in or to a lower position than someone or something, under someone or something",
beside,"at the side of, next to","at the side of, next to",
besides,in addition to; also,"Besides, the city should conduct inspections of zoos.",To add more points on a topic
"broadly, historically, strictly, etc. speaking",talking from a particular point of view,talking from a particular point of view,
by all means,"yes, certainly / used to give permission","yes, certainly / used to give permission",
by and large,when everything about a situation is considered together,when everything about a situation is considered together,
by the same token,"used to mean that something you are about to say is also true, for the same reasons as what has just been said","used to mean that something you are about to say is also true, for the same reasons as what has just been said",
by the time,К моменту,К моменту,
certainly,used to reply completely or to emphasize something and show that there is no doubt about it,used to reply completely or to emphasize something and show that there is no doubt about it,
chiefly [ˈtʃiːf.li],mainly,mainly,
clearly,,Clearly research has proved that eating healthy foods and exercising regularly reduce the risk of heart disease.,To emphasise what you say
comparatively,as compared to something else,as compared to something else,
consequently [kɒn.sɪ.kwənt.li],,"Lots of factories have closed down; consequently, many people have lost their jobs.",To express effect / phrases for result
Conversely /ˈkɒn.vɜːs.li/,in an opposite way:,"Poor health is accepted as an attribute of normal ageing. Conversely, youth is depicted as a time of vitality and good health.",To make contrasting points
correspondingly [kɒr.ɪˈspɒn.dɪŋ.li],"in a way that is similar to, connected with, or caused by something else","in a way that is similar to, connected with, or caused by something else",
Definitely,without any doubt,without any doubt,
despite the fact that,no considering the fact,no considering the fact,
due to,because of,because of,
during,from the beginning to the end of a particular period,from the beginning to the end of a particular period,
especially,very much; more than usual or more than other people or things,very much; more than usual or more than other people or things,
especially (1),for a particular reason,for a particular reason,
even as,at the same time as,at the same time as,
even if,"used to say that if something is the case or not, the result is the same","Even if killing endangered species is illegal, people will not stop hunting them.",To make contrasting points
even now/then,despite something,despite something,
,,,
even so / though,despite what has just been said,despite what has just been said,
even though,although,"Even though killing endangered species is illegal, people will not stop hunting them.",To make contrasting points
eventually,"in the end, especially after a long time or a lot of effort, problems, etc.","Eventually, many people have lost their jobs.",To express effect / phrases for result
explicitly (2),in a way that is clear and exact,in a way that is clear and exact,
expressly (1),in a way that is clear,in a way that is clear,
expressly (2),for a particular purpose,for a particular purpose,
finally,after a long time or some difficulty,"Finally, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
Finally,,"Finally, the university offers a wide range of courses and provides modern facilities.",To conclude
firstly,,"Firstly, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
For all I know,,For all I know residents were opposed to the city's plan to build a nuclear power plant in the area.,To express limit of knowledge
For example,used when giving an example of the type of thing you mean,"For example, in the past six months retailers have reported a 25% drop in sales of electronic equipment.",To give examples
for fear that/of sth,because you are worried that a particular thing might happen,The queen became hysterical for fear that he would die.,
For instance,for example,"For instance, in the past six months retailers have reported a 25% drop in sales of electronic equipment.",To give examples
for once,used when something happens that does not usually happen,used when something happens that does not usually happen,
for one thing,used to introduce a reason for something,used to introduce a reason for something,
for the most part,mostly or usually,mostly or usually,
for the purpose of,when considering one particular thing,"For the purposes of this study, we ignored the responses of those with fewer than three children.",To express cause
For this reason,,"For this reason, many crops were destroyed.",To express cause
formerly,in the past,in the past,
forthwith,immediately:,"We expect these practices to cease forthwith.
If Iraq's leader tells the Americans to go forthwith, they must do so.",To express situation’s conditions
frequently,often,often,
from time to time,"sometimes, but not often","sometimes, but not often",
further,"(comparative of ""far"") to a greater distance or degree, or at a more advanced level","(comparative of ""far"") to a greater distance or degree, or at a more advanced level",
furthermore /ˌfɜː.ðəˈmɔːr/,in addition; more importantly:,"The house is beautiful. Furthermore, it's in a great location.",To express similarity
Generally / generally speaking,,"Generally, girls get better exam results than boys.",To make general statements
granted,"used to admit that something is true, before saying something else about it","Granted that the story's true, there's not a lot you can do about it.",To express cause
granted (that),"used to admit that something is true, before saying something else about it","used to admit that something is true, before saying something else about it",
having said that,despite what has just been said,despite what has just been said,
hence [hens],that is the reason or explanation for,that is the reason or explanation for,
"henceforth (LAW, formal or specialized) /ˌhensˈfɔːθ/",starting from this time,"Henceforth, the said building shall be the property of Brendan Duggan.",To express situation’s conditions
here and there,in different places,in different places,
however (1),despite whatever amount or degree,despite whatever amount or degree,
"However, there are people",,"However, there are people who believe that increasing the school year will only overwork students.",To introduce the other side of the argument
I am inclined to believe,,I am inclined to believe that department stores offer a greater selection of clothes than small boutiques.,To express PERSONAL opinion
I feel very strongly,,I feel very strongly that department stores offer a greater selection of clothes than small boutiques.,To express PERSONAL opinion
I personally believe,,I personally believe department stores offer a greater selection of clothes than small boutiques.,To express PERSONAL opinion
identically /aɪˈden.tɪ.kəl.i/,"in a way that is exactly the same, or very similar:","The two sisters were always dressed identically.

They were treated identically.",To express similarity
immediately,now or without waiting or thinking,now or without waiting or thinking,
important to realize,,"""It's important to realize there will be many mobile experiences,"" he said.",To emphasise what you say
in a sense,"thinking about something in one way, but not in every way:","Considering the high rate of unemployment, some companies have, in a sense, tried to create more positions.

She claims that the system is at fault and she's right, in a sense (= she is partly right).",To make partly correct statements
in a way,considered in a particular manner:,"Considering the high rate of unemployment, some companies have, in a way, tried to create more positions.

""It's intuitive, in a way.",To make partly correct statements
in a word,said when you are going to give your opinion about something quickly and directly,said when you are going to give your opinion about something quickly and directly,
in addition,as well (as),as well (as),
in addition to this,,"In addition to this, the city should conduct inspections of zoos.",To add more points on a topic
in any case,also,"In any case, a new community centre will greatly benefit the people of the town.",To imply that nothing else needs to be said/can be done
in any event,whatever happens,whatever happens,
in brief,"If something is said in brief, it is said in a very short form, with very few details","If something is said in brief, it is said in a very short form, with very few details",
in case of sth,"if something happens, or in preparation for when something happens","if something happens, or in preparation for when something happens",
in conclusion,finally,finally,
in detail,including or considering all the information about something or every part of something,including or considering all the information about something or every part of something,
in due time,в свое время,в свое время,
in effect,"in fact, or in practice","in fact, or in practice",
in either event,in either of two situations,in either of two situations,
in essence,relating to the most important characteristics or ideas of something,relating to the most important characteristics or ideas of something,
in fact,actually,actually,
In general,"usually, or in most situations","In general, girls get better exam results than boys.",To make general statements
in like manner,in similar way,"Would not similar jealousies arise, and be in like manner cherished?",To express similarity
"in order (for sb/sth) to do sth (also ""in order that sth"")",with the aim of achieving something,with the aim of achieving something,
in other words,used to explain what something means in a different way:,"He said he's too busy, in other words, he isn't interested.",To rephrase
,,,
in particular /pəˈtɪk.jə.lər/,especially,"In particular, researchers have proved that eating healthy foods and exercising regularly reduce the risk of heart disease.",To emphasise what you say
"In particular,",,"In particular, in the past six months retailers have reported a 25% drop in sales of electronic equipment.",To give examples
In practice,,In practice the report states that most college graduates are interested in pursuing a Masters' degree in the future.,To express reality
in reality,In reality means what actually happened or what the actual situation is,In reality means what actually happened or what the actual situation is,
in sharp contrast (to sth),in a way that is clearly recognized as different to something else:,"Sales were particularly strong last month, in sharp contrast to its main competitors.",To make contrasting points
in short,used before describing something or someone in as few words and as directly as possible,used before describing something or someone in as few words and as directly as possible,
in spite of the,(used before one fact that makes another fact surprising) despite,"In spite of the fact that killing endangered species is illegal, people will not stop hunting them.",To make contrasting points
in summary,"In summary is said before giving a final, brief statement","In summary is said before giving a final, brief statement",
"in summary
in conclusion
in short
in brief
in essence",,"In conclusion, the university offers a wide range of courses and provides modern facilities.",To conclude
in that case,because of the mentioned situation,because of the mentioned situation,
"in that case
for this reason",,"For this reason, they often confess"".",To express cause
in that event,if that happens,if that happens,
in the case of sth/sb,"in connection with someone or something, or in the situation of something","in connection with someone or something, or in the situation of something",
in the distance,at a point that is far away,at a point that is far away,
in the event of sth,if something happens,if something happens,
in the event that,if something should happen,"In the event of an actual emergency, you will be told what to do.",To express cause
in the final analysis,used when you are talking about what is most important or true in a situation,used when you are talking about what is most important or true in a situation,
in the first place,in or at the beginning (of a series of events),In the first place the government must revise the out-of-date environmental laws which were written twenty years ago.,To list points
in the foreground,"the people, objects, countryside, etc. in a picture or photograph that seem nearest to you and form its main part","the people, objects, countryside, etc. in a picture or photograph that seem nearest to you and form its main part",
in the hope that,,"That is an argument for waiting, in the hope that things now calm down.",To express cause
in the light of,because or as a result of,"In light of the problems we're having, we have no choice but to close the business.",To express cause
in the long run,at a time that is far away in the future:,It seems a lot of effort but I'm sure it's the best solution in the long run.,To conclude
in the meantime,"until something expected happens, or while something else is happening","until something expected happens, or while something else is happening",
in the same fashion / way,"introduce a situation that you are comparing with one that you have just mentioned, because there is a strong similarity between them","introduce a situation that you are comparing with one that you have just mentioned, because there is a strong similarity between them",
In the same manner,,"Maybe not in the same manner, but with the same effect.",To express similarity
In the same way,,"Maybe not in the same way, but with the same effect.",To express similarity
in time,early enough,early enough,
in view of sth,"because of a particular thing, or considering a particular fact","because of a particular thing, or considering a particular fact",
inasmuch as [ɪn.əzˈmʌtʃ əz],used to introduce a phrase that explains why or how much something described in another part of the sentence is true,used to introduce a phrase that explains why or how much something described in another part of the sentence is true,
Including,,"Including Christmas Day and Boxing Day, I've got a week off work.",To introduce the other side of the argument
indeed,used to add some extra information that develops or supports something you have just said:,"For such creatures, speed is not important - indeed it is counterproductive.",To add more points on a topic
indeed,"really or certainly, often used to emphasize something:","Indeed, it could be the worst environmental disaster in Europe this century.",To emphasise what you say
instantly,immediately,immediately,
It is a fact,,It is a fact that the teaching profession needs more qualified educators.,To state an argument against your opinion
It is often alleged,,It is often alleged that the teaching profession needs more qualified educators.,To state an argument against your opinion
It is popularly believed,,It is popularly believed that the teaching profession needs more qualified educators.,To state an argument against your opinion
It seems to me that,,It seems to me that department stores offer a greater selection of clothes than small boutiques.,To express PERSONAL opinion
It strikes me,to cause someone to have a feeling or idea about something:,"It strikes me that department stores offer a greater selection of clothes than small boutiques.

Doesn't it strike you as odd that he never talks about his family?

I was immediately struck by the similarities between the two murders.

So how does my proposition strike you? (= What do you think of it?)",To express PERSONAL opinion
just this once,used to say that you will only do or request something on this particular occasion,used to say that you will only do or request something on this particular occasion,
Lastly,used to show when something comes after all the other things in a list,"Lastly, the university offers a wide range of courses and provides modern facilities.

In accepting this award, I would like to thank the producer, the director, the scriptwriter, and, lastly, the film crew.",To conclude
later,at a time in the future or after the time you have mentioned,at a time in the future or after the time you have mentioned,
likewise /ˈlaɪk.waɪz/,in the same way:,"Just water these plants twice a week, and likewise the ones in the bedroom.",To express similarity
markedly,in a very obvious or noticeable way,in a very obvious or noticeable way,
meanwhile,"until something expected happens, or while something else is happening","until something expected happens, or while something else is happening",
moreover,(used to add information) also and more importantly,"Moreover, the city should conduct inspections of zoos.",To add more points on a topic
namely,used when you want to give more detail or be more exact about something you have just said,used when you want to give more detail or be more exact about something you have just said,
nearby,not far away,not far away,
nevertheless [ˌnev.ə.ðəˈles],despite what has just been said or referred to,despite what has just been said or referred to,
no/not later than,not after,not after,
nonetheless [nʌn.ðəˈles],despite what has just been said or done:,"There are serious problems in our country. Nonetheless, we feel this is a good time to return.",To imply that nothing else needs to be said/can be done
not only ... but also,"used to say that two related things are true or happened, especially when this is surprising or shocking","If this project fails, it will affect not only our department, but also the whole organization.",To add more points on a topic
not to mention,used when you want to emphasize something that you are adding to a list,used when you want to emphasize something that you are adding to a list,
notably,especially or most importantly,especially or most importantly,
notwithstanding /ˌnɒt.wɪðˈstæn.dɪŋ/,despite the fact or thing mentioned:,"Notwithstanding some members' objections, I think we must go ahead with the plan.

Injuries notwithstanding, the team won the semifinal.",To imply that nothing else needs to be said/can be done
now that,You use now that to give an explanation of a new situation,You use now that to give an explanation of a new situation,
obviously,in a way that is easy to understand or see,"Obviously, research has proved that eating healthy foods and exercising regularly reduce the risk of heart disease.",To emphasise what you say
occasionally,sometimes but not often,sometimes but not often,
of course,used to say yes or to give someone permission to do something,"Of course, research has proved that eating healthy foods and exercising regularly reduce the risk of heart disease.",To emphasise what you say
of course (2),used to show that what you are saying is obvious or already known,used to show that what you are saying is obvious or already known,
on (the) condition (that),only if:,I'll come to the party on the condition that you don't wear those ridiculous trousers!,To express if-conditions
on balance,after thinking about all the different facts or opinions,after thinking about all the different facts or opinions,
on the contrary,used to show that you think or feel the opposite of what has just been stated:,"""I thought you said the film was exciting?"" ""On the contrary, I nearly fell asleep halfway through it!""",To introduce the other side of the argument
On the face of it,,"On the face of it the building looked safe, but after a detailed inspection it was reported to be in need of major structural repairs.",To express difference between appearance and reality
On the one hand,,"On the one hand working for a large company is prestigious, but it can be very stressful.

Working for a large company is prestigious, but on the other hand it can be very stressful.",To introduce the other side of the argument
"on the positive side
on the negative side",,"On the positive/negative side, at least they fit nicely in one hand when breastfeeding.",To list advantages/disadvantages
On the whole,,"On the whole, girls get better exam results than boys.",To make general statements
On the whole,,"On the whole, the university offers a wide range of courses and provides modern facilities.",To conclude
on top of that,used after some enumeration,used after some enumeration,
once,one single time,one single time,
"once again (also ""once more"")","again, as has happened before","again, as has happened before",
once and for all,completely and in a way that will finally solve a problem,completely and in a way that will finally solve a problem,
once in a lifetime,only likely to happen once in a person's life,only likely to happen once in a person's life,
once or twice,a few times,a few times,
one of the,,One of the greatest advantages of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
one other,,One other advantage of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
opposite (to),completely different,completely different,
ordinarily,usually,usually,
otherwise /ˈʌð.ə.waɪz/,used after an order or suggestion to show what the result will be if you do not follow that order or suggestion:,"Call home, otherwise your parents will start to worry.",To express effect / phrases for result
overall,"in general rather than in particular, or including all the people or things in a particular group or situation","The overall situation is good, despite a few minor problems.",
owing to [əʊ.ɪŋ ˌtuː],because of,"Owing to the harsh winter, many crops were destroyed.",To express cause
particularly [pəˈtɪk.jə.lə.li],"especially, or more than usual","especially, or more than usual",
People often claim,,People often claim that the teaching profession needs more qualified educators.,To state an argument against your opinion
presently,now; at the present time,now; at the present time,
prior to,before a particular time or event,before a particular time or event,
provided that,"if, or only if:","if, or only if:",
quickly,at a fast speed,at a fast speed,
rather,used to express an opposite opinion,used to express an opposite opinion,
rather than,instead of; used especially when you prefer one thing to another,instead of; used especially when you prefer one thing to another,
Regarding,despite; not being affected by something,"Regarding the community, the area is in need of a new elementary school.",To bring up other points or aspects
regardless,despite; not being affected by something:,"The plan for a new office building went ahead regardless of local opposition.

This job is open to all, regardless of previous experience.",To imply that nothing else needs to be said/can be done
secondly,,"Secondly, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
seeing / being that,considering or accepting the fact that; as,considering or accepting the fact that; as,
shortly,soon,soon,
shortly after/before sth,a short time after or before something,a short time after or before something,
significantly (1),in a way that is easy to see or by a large amount,in a way that is easy to see or by a large amount,
significantly (2),in a way that suggests a special meaning,in a way that suggests a special meaning,
similarly [sɪm.ɪ.lə.li],in a similar way,in a similar way,
so,,Lots of factories have closed down so many people have lost their jobs.,To express effect / phrases for result
so as not to,in order not to:,in order not to:,
so as to,in order to,in order to,
so long as,only if,only if,
so that,in order that,in order that,
Some people argue,,Some people argue that the mayor's proposal to raise local taxes is unfair.,To state OTHER PEOPLE'S opinions
sooner or later,"used to say that you do not know exactly when something will happen, but you are certain that it will happen","used to say that you do not know exactly when something will happen, but you are certain that it will happen",
specifically,"for a particular reason, purpose, etc.","for a particular reason, purpose, etc.",
straightaway,immediately,immediately,
such as,for example,for example,
suddenly,quickly and unexpectedly,quickly and unexpectedly,
surely,used to express that you are certain or almost certain about something:,used to express that you are certain or almost certain about something:,
surprisingly,unexpectedly or in a way that is unusual:,"The restaurant turned out to be surprisingly cheap.

Not surprisingly, the jury found them guilty.",To emphasise what you say
Taking everything into account,,"Taking everything into account, the university offers a wide range of courses and provides modern facilities.",To conclude
That is to say,used to correct something you have said or give more information about something:,"That is to say, they disagree with the manager's decision.

Everybody was at the meeting, well everyone except Jeanne, that is.",To rephrase
The fact of the matter,,The fact of the matter is the report states that most college graduates are interested in pursuing a Masters' degree in the future.,To express reality
the first/greatest ,,The first/greatest advantage of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
"the last person, thing, etc.",the least expected or wanted person or thing,the least expected or wanted person or thing,
the main,,The main advantage of regular exercise is that it leads to a healthier lifestyle.,To list advantages/disadvantages
the once (UK),on a single occasion,on a single occasion,
"then again (also ""there again"")",used when you have had a new thought that is different from or the opposite of what you have just said,used when you have had a new thought that is different from or the opposite of what you have just said,
therefore,for that reason,"Lots of factories have closed down, therefore, many people have lost their jobs.",To express effect / phrases for result
thereupon,immediately after something that is mentioned,immediately after something that is mentioned,
Things being as they are,,"Things being as they are, the situation cannot be improved.",Accepting the situation
thirdly,,"Thirdly, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
Those who ,,Those who oppose increasing the school year claim that it will only overwork students.,To introduce the other side of the argument
thus /ðʌs/,with this result,"Lots of factories have closed down; thus, many people have lost their jobs.",To express effect / phrases for result
till,up to (the time that); until,up to (the time that); until,
time after time,again and again,again and again,
time and (time) again,very often,very often,
to a certain extent,,"Considering the high rate of unemployment, some companies have, to a certain extent, tried to create more positions.",To make partly correct statements
to be sure,certainly,certainly,
to begin with,used to give the first important reason for something,used to give the first important reason for something,
to emphasize,to show that something is very important or worth giving attention to,to show that something is very important or worth giving attention to,
to enumerate,"to name things separately, one by one","to name things separately, one by one",
To illustrate,,"To illustrate, in the past six months retailers have reported a 25% drop in sales of electronic equipment.",To give examples
to make matters worse,to say that something has made a bad or difficult situation worse,to say that something has made a bad or difficult situation worse,
To my mind/way of thinking,,"To my mind/way of thinking, department stores offer a greater selection of clothes than small boutiques.",To express PERSONAL opinion
to point out,direct your attention,direct your attention,
to put it another way,"a phrase introducing a restatement of what someone, usually the speaker, has just said","a phrase introducing a restatement of what someone, usually the speaker, has just said",
to put it differently,used when you are going to explain something in a different way in order to make it easier to understand,"Or, to put it differently, did Singapore improve the living standards of its people faster and more comprehensively than any other society?",To rephrase
to say nothing of ...,and in addition there is,"It would be an enormous amount of work, to say nothing of the cost.",To add more points on a topic
to some extent,partly:,"To some extent, she was responsible for the accident.",To make partly correct statements
to start with,"at the beginning, or as the first of several things","To start with, the government must revise the out-of-date environmental laws which were written twenty years ago.",To list points
to such an extent,so much,so much,
To sum up,"When a judge sums up towards the end of a trial, he or she makes a speech to the jury telling them again of the main matters they should consider in the case.","To sum up, the university offers a wide range of courses and provides modern facilities.",To conclude
to summarize,to express the most important facts or ideas about something or someone in a short and clear form,to express the most important facts or ideas about something or someone in a short and clear form,
to tell (you) the truth,to be honest,to be honest,
To the best of my knowledge,,"To the best of my knowledge, residents were opposed to the city's plan to build a nuclear power plant in their area.",To express limit of knowledge
to the contrary,saying or showing the opposite:,"For a long time it was thought to be a harmless substance, but we now have proof/evidence to the contrary.",To introduce the other side of the argument
to the extent of,so strongly that,so strongly that,
to the extent that,"to a particular degree or stage, often causing particular results","to a particular degree or stage, often causing particular results",
to the same extent,to the same degree as; as much as,to the same degree as; as much as,
to what extent?,how much,how much,
together with,in addition to; and also:,The money that I owe you for the phone together with the rent equals £300.,To add more points on a topic
too,,The city should conduct inspections of zoos too.,To add more points on a topic
truly,used to emphasize that what you are saying is true,used to emphasize that what you are saying is true,
Ultimately (1),"finally, after a series of things have happened","finally, after a series of things have happened",
Ultimately (2),used to emphasize the most important fact in a situation,used to emphasize the most important fact in a situation,
under those circumstances,,"Under those circumstances, we want to not take any chances",To express situation’s conditions
unlike,different from,different from,
until,up to (the time that),up to (the time that),
until now,до сих пор,до сих пор,
up to a point,"partly, or to a limited degree","Considering the high rate of unemployment, some companies have, up to a point, tried to create more positions.",To make partly correct statements
usually,in the way that most often happens,in the way that most often happens,
what's more,used to add something surprising or interesting to what you have just said,used to add something surprising or interesting to what you have just said,
whenever,every or any time,every or any time,
whereas /weərˈæz/,compared with the fact that; but,"John is a hard-working person, whereas Ann isn't.",To introduce the other side of the argument
wherever,to or in any or every place,to or in any or every place,
while,,"While killing endangered species is illegal, people will not stop hunting them.",To make contrasting points
With reference to,,"With reference to, this report, that brand of sun cream causes irritation to sensitive skin.",To refer to other sources
With regards ,,"With regards to the community, the area is in need of a new elementary school.",To bring up other points or aspects
"with this intention
with this in mind",,"With this in mind, she has created a crowdfunding campaign.",To express situation’s conditions
